Flight Date,Airline,From,To,Flight Duration (min),Price
20.12.2023,Anadolujet,ADA,ESB,65,"936,99"
20.12.2023,Anadolujet,ADA,ESB,65,"936,99"
20.12.2023,Sunexpress,ADA,AYT,75,"1264,99"
20.12.2023,Sunexpress,ADA,AYT,75,"1464,99"
20.12.2023,Pegasus,ADA,AYT,65,"1579,99"
20.12.2023,Türk Hava Yolları,ADA,IST,110,"1492,99"
20.12.2023,Türk Hava Yolları,ADA,IST,105,"1599,99"
20.12.2023,Anadolujet,ADA,SAW,95,"1144,99"
20.12.2023,Anadolujet,ADA,SAW,95,"1354,99"
20.12.2023,Pegasus,ADA,SAW,95,"1379,99"
20.12.2023,Pegasus,ADA,SAW,95,"1379,99"
20.12.2023,Pegasus,ADA,ADB,90,"1313,99"
20.12.2023,Sunexpress,ADA,ADB,100,"1314,99"
20.12.2023,Sunexpress,ADA,ADB,100,"1364,99"
20.12.2023,Pegasus,ADA,VAN,85,"1401,99"
20.12.2023,Anadolujet,ESB,AYT,70,"630,99"
20.12.2023,Anadolujet,ESB,AYT,70,"630,99"
20.12.2023,Pegasus,ESB,AYT,70,"642,99"
20.12.2023,Pegasus,ESB,AYT,70,"741,99"
20.12.2023,Anadolujet,ESB,GZP,70,"630,99"
20.12.2023,Anadolujet,ESB,DIY,85,"1050,99"
20.12.2023,Anadolujet,ESB,DIY,85,"1149,99"
20.12.2023,Anadolujet,ESB,EZS,75,"841,99"
20.12.2023,Anadolujet,ESB,EZS,75,"941,99"
20.12.2023,Anadolujet,ESB,ERZ,80,"1050,99"
20.12.2023,Anadolujet,ESB,ERZ,80,"1149,99"
20.12.2023,Anadolujet,ESB,GZT,75,"841,99"
20.12.2023,Anadolujet,ESB,GZT,75,"841,99"
20.12.2023,Türk Hava Yolları,ESB,IST,80,"1297,99"
20.12.2023,Türk Hava Yolları,ESB,IST,85,"1297,99"
20.12.2023,Anadolujet,ESB,SAW,60,"630,99"
20.12.2023,Pegasus,ESB,SAW,70,"641,99"
20.12.2023,Pegasus,ESB,SAW,70,"642,99"
20.12.2023,Anadolujet,ESB,SAW,65,"841,99"
20.12.2023,Anadolujet,ESB,ADB,80,"841,99"
20.12.2023,Anadolujet,ESB,ADB,80,"941,99"
20.12.2023,Pegasus,ESB,ADB,75,"992,99"
20.12.2023,Pegasus,ESB,ADB,75,"1150,99"
20.12.2023,Anadolujet,ESB,KSY,95,"1149,99"
20.12.2023,Anadolujet,ESB,MLX,70,"741,99"
20.12.2023,Anadolujet,ESB,BJV,85,"1050,99"
